timestamp,temperature
2025-01-29 15:00:00,70.4
2025-01-29 15:01:00,70.8
2025-01-29 15:02:00,71.2
2025-01-29 15:03:00,71.6
2025-01-29 15:04:00,72.0
2025-01-29 15:05:00,72.4
2025-01-29 15:06:00,72.8
2025-01-29 15:07:00,73.2
2025-01-29 15:08:00,73.6
2025-01-29 15:09:00,74.0
2025-01-29 15:10:00,74.4
2025-01-29 15:11:00,74.8
2025-01-29 15:12:00,75.2
2025-01-29 15:13:00,75.6
2025-01-29 15:14:00,76.0
2025-01-29 15:15:00,76.4
2025-01-29 15:16:00,76.8
2025-01-29 15:17:00,77.2
2025-01-29 15:18:00,77.6
2025-01-29 15:19:00,78.0
2025-01-29 15:20:00,78.4
2025-01-29 15:21:00,78.8
2025-01-29 15:22:00,79.2
2025-01-29 15:23:00,79.6
2025-01-29 15:24:00,80.0
2025-01-29 15:25:00,80.4
2025-01-29 15:26:00,80.8
2025-01-29 15:27:00,81.2
2025-01-29 15:28:00,81.6
2025-01-29 15:29:00,82.0
2025-01-29 15:30:00,82.4
2025-01-29 15:31:00,82.8
2025-01-29 15:32:00,83.2
2025-01-29 15:33:00,83.6
2025-01-29 15:34:00,84.0
2025-01-29 15:35:00,84.4
2025-01-29 15:36:00,84.8
2025-01-29 15:37:00,85.2
2025-01-29 15:38:00,85.6
2025-01-29 15:39:00,86.0
2025-01-29 15:40:00,86.4
2025-01-29 15:41:00,86.8
2025-01-29 15:42:00,87.2
2025-01-29 15:43:00,87.6
2025-01-29 15:44:00,88.0
2025-01-29 15:45:00,88.4
2025-01-29 15:46:00,88.8
2025-01-29 15:47:00,89.2
2025-01-29 15:48:00,89.6
2025-01-29 15:49:00,90.0
2025-01-29 15:50:00,90.4
2025-01-29 15:51:00,90.8
2025-01-29 15:52:00,91.2
2025-01-29 15:53:00,91.6
2025-01-29 15:54:00,92.0
2025-01-29 15:55:00,92.4
2025-01-29 15:56:00,92.8
2025-01-29 15:57:00,93.2
2025-01-29 15:58:00,93.6
2025-01-29 15:59:00,94.0
2025-01-29 16:00:00,94.4
2025-01-29 16:01:00,94.8
2025-01-29 16:02:00,95.2
2025-01-29 16:03:00,95.6
2025-01-29 16:04:00,96.0
2025-01-29 16:05:00,96.4
2025-01-29 16:06:00,96.8
2025-01-29 16:07:00,97.2
2025-01-29 16:08:00,97.6
2025-01-29 16:09:00,98.0
2025-01-29 16:10:00,98.4
2025-01-29 16:11:00,98.8
2025-01-29 16:12:00,99.2
2025-01-29 16:13:00,99.6
2025-01-29 16:14:00,100.0
2025-01-29 16:15:00,100.4
2025-01-29 16:16:00,100.8
2025-01-29 16:17:00,101.2
2025-01-29 16:18:00,101.6
2025-01-29 16:19:00,102.0
2025-01-29 16:20:00,102.4
2025-01-29 16:21:00,102.8
2025-01-29 16:22:00,103.2
2025-01-29 16:23:00,103.6
2025-01-29 16:24:00,104.0
2025-01-29 16:25:00,104.4
2025-01-29 16:26:00,104.8
2025-01-29 16:27:00,105.2
2025-01-29 16:28:00,105.6
2025-01-29 16:29:00,106.0
2025-01-29 16:30:00,106.4
2025-01-29 16:31:00,106.8
2025-01-29 16:32:00,107.2
2025-01-29 16:33:00,107.6
2025-01-29 16:34:00,108.0
2025-01-29 16:35:00,108.4
2025-01-29 16:36:00,108.8
2025-01-29 16:37:00,109.2
2025-01-29 16:38:00,109.6
2025-01-29 16:39:00,110.0
2025-01-29 16:40:00,110.4
2025-01-29 16:41:00,110.8
2025-01-29 16:42:00,111.2
2025-01-29 16:43:00,111.6
2025-01-29 16:44:00,112.0
2025-01-29 16:45:00,112.4
2025-01-29 16:46:00,112.8
2025-01-29 16:47:00,113.2
2025-01-29 16:48:00,113.6
2025-01-29 16:49:00,114.0
2025-01-29 16:50:00,114.4
2025-01-29 16:51:00,114.8
